Index,Height,Weight
1,167.0896074,51.252535867225
2,181.6486334,61.909597881901
3,176.2727996,69.411834244753
4,173.270164,64.562251420898
5,172.1810374,65.452063573127
6,174.4925136,55.929027842688
7,177.2971816,64.180916315439
8,177.8373888,61.898258072651
9,172.472731,50.971217879351
10,169.6271944,54.733721229264
11,168.8787326,57.811073304292
12,171.7632582,51.77439388891
13,173.4882992,56.976055110359
14,170.4760624,55.547738096466
15,173.4303618,52.655996019242
16,180.572664,63.501797819075
17,168.81094,58.741255177451
18,174.3691458,64.851597993721
19,180.9250382,62.551521803925
20,170.5131972,56.265820177413
21,172.2978266,64.083847548259
22,174.9521774,65.108285915904
23,161.242121,44.4075593844267
24,173.7915498,58.741436614399
25,171.7752216,64.342123043737
26,170.7099456,58.841998042828
27,179.939569,64.602212908695
28,171.4356236,59.670166991974
29,168.9963854,49.138750063788
30,166.2200892,51.660632922514
31,176.589182,46.856817568792
32,167.165528,54.772911610032
33,172.253402,57.056749192982
34,179.311427,61.789486622325
35,182.3842936,63.548971425555
36,175.7835702,58.399427967419
37,169.6813472,64.319125910578
38,171.8536822,54.989864840603
39,172.2298054,59.578359896286
40,162.675189,48.403522191255
41,174.1795602,56.408656414726
42,165.5662678,56.635135085067
43,176.9316756,63.353745269507
44,172.6369674,62.309802429952
45,167.5914352,48.284862427263
46,174.4281246,58.406322571443
47,169.8774352,66.081014753369
48,171.9546472,52.98820707103
49,177.3457718,65.145616567955
50,175.4839518,61.204352465025
51,177.5835666,66.688012062903
52,171.0228228,57.301643713545
53,178.4842506,56.918539597843
54,175.5227376,52.484447384908
55,166.0742424,56.013758897404
56,178.2685538,67.082954939462
57,178.8316718,70.714460812919
58,169.0211504,58.093479913854
59,168.5650172,54.145366566137
60,171.54398,60.697372273076
61,168.9206172,58.392079771025
62,175.2589332,62.389498609361
63,173.491017,58.858327368148
64,170.211877,58.43358347288
65,179.8470368,61.378531935105
66,173.2775554,49.718849345781
67,175.4102156,64.622579206108
68,172.0368162,60.21393352513
69,170.7278272,46.959284085175
70,171.1137802,56.576530950863
71,165.7866382,58.655707656469
